spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.008345127,0.02259492,0.005751746,0.0,0.06830883,0.09543717,0.0208066,0.0
2.1,0.008142234,0.02262796,0.005578664,0.0,0.06943167,0.09938925,0.0211188,0.0
2.2,0.007945881,0.02266732,0.005410997,0.0,0.07060325,0.1035794,0.02144447,0.0
2.3,0.007755855,0.02271296,0.005248582,0.0,0.07182519,0.1080227,0.021784,0.0
2.4,0.007571949,0.0227649,0.005091264,0.0,0.07309917,0.1127352,0.02213781,0.0
2.5,0.007393964,0.02282312,0.004938889,0.0,0.07442696,0.1177342,0.02250634,0.0
2.6,0.007221704,0.02288761,0.004791309,0.0,0.07581041,0.123038,0.02289006,0.0
2.7,0.007054983,0.02295839,0.004648377,0.0,0.07725143,0.1286665,0.02328943,0.0
2.8,0.006893617,0.02303546,0.004509952,0.0,0.07875205,0.1346405,0.02370496,0.0
2.9,0.00673743,0.02311883,0.004375896,0.0,0.08031436,0.1409825,0.02413716,0.0
3.0,0.00658625,0.02320851,0.004246074,0.0,0.08194056,0.1477168,0.02458657,0.0
3.1,0.006439913,0.02330452,0.004120354,0.0,0.08363293,0.1548689,0.02505377,0.0
3.2,0.006298257,0.02340689,0.00399861,0.0,0.08539388,0.1624665,0.02553934,0.0
3.3,0.006161127,0.02351565,0.003880715,0.0,0.0872259,0.1705389,0.02604389,0.0
3.4,0.006028374,0.02363082,0.003766551,0.0,0.08913161,0.1791179,0.02656806,0.0
